title,link,description,published,city,state_name_x,county_name,lat,lng,roberta_title,roberta_description,roberta_title_label,roberta_title_score,roberta_desc_label,roberta_desc_score,city_ascii,state_id,state_name_y,county_fips,population,density,military,incorporated,timezone,zips
In pictures: Isle's ancient finds,http://www.bbc.co.uk/news/uk-scotland-highlands-islands-19298768#sa-ns_mchannel=rssns_source=PublicRSS20-sa,Green marble from Greece among ancient finds on Scottish isle,"Sun, 19 Aug 2012 08:21:03 GMT",Isle,Minnesota,Mille Lacs,46.1389,-93.4592,"('neutral', 0.7356777191162109)","('neutral', 0.8514605164527893)",neutral,0.7356777191162109,neutral,0.8514605164527893,Isle,MN,Minnesota,27095,663,99.9,False,True,America/Chicago,56342
Mass burials at ancient Isle site,http://www.bbc.co.uk/go/rss/int/news/-/news/science-environment-11890292,"Archaeologists on Orkney are investigating what is thought to be a 5,000-year-old tomb complex.","Thu, 02 Dec 2010 10:03:56 GMT",Isle,Minnesota,Mille Lacs,46.1389,-93.4592,"('neutral', 0.8756237626075745)","('neutral', 0.9222922921180725)",neutral,0.8756237626075745,neutral,0.9222922921180724,Isle,MN,Minnesota,27095,663,99.9,False,True,America/Chicago,56342
'Mutant rats' immune to poisons,http://www.bbc.co.uk/news/uk-england-19974261#sa-ns_mchannel=rssns_source=PublicRSS20-sa,"An increasing number of rats in parts of the west of England are mutating to become more resistant to poisons, a university study finds.","Wed, 17 Oct 2012 08:57:35 GMT",England,Arkansas,Lonoke,34.5454,-91.9675,"('neutral', 0.814943253993988)","('neutral', 0.6123915910720825)",neutral,0.814943253993988,neutral,0.6123915910720825,England,AR,Arkansas,5085,2502,554.5,False,True,America/Chicago,72046
Court battle on badger cull fails,http://www.bbc.co.uk/news/science-environment-19563661#sa-ns_mchannel=rssns_source=PublicRSS20-sa,The Badger Trust has lost its Court of Appeal challenge to government plans to allow thousands of badgers to be killed in England.,"Tue, 11 Sep 2012 15:57:30 GMT",England,Arkansas,Lonoke,34.5454,-91.9675,"('neutral', 0.5443053841590881)","('negative', 0.8269901871681213)",neutral,0.5443053841590881,negative,0.8269901871681213,England,AR,Arkansas,5085,2502,554.5,False,True,America/Chicago,72046
No English badger cull this year,http://www.bbc.co.uk/go/rss/int/news/-/news/uk-14204236,"There will be no culling of badgers in England this year to curb cattle tuberculosis, the government says - pilots are possible next year.","Tue, 19 Jul 2011 14:18:48 GMT",England,Arkansas,Lonoke,34.5454,-91.9675,"('neutral', 0.6378656029701233)","('neutral', 0.7292953133583069)",neutral,0.6378656029701233,neutral,0.7292953133583069,England,AR,Arkansas,5085,2502,554.5,False,True,America/Chicago,72046
VIDEO: Ministers expected to back badger cull,http://www.bbc.co.uk/go/rss/int/news/-/news/uk-14197373,"Farmers may be allowed to cull badgers in parts of England, to try to control the spread of bovine TB.","Tue, 19 Jul 2011 07:21:58 GMT",England,Arkansas,Lonoke,34.5454,-91.9675,"('neutral', 0.7231753468513489)","('neutral', 0.8634569644927979)",neutral,0.7231753468513489,neutral,0.8634569644927979,England,AR,Arkansas,5085,2502,554.5,False,True,America/Chicago,72046
Dry winter 'could see standpipes',http://www.bbc.co.uk/news/uk-england-17907418#sa-ns_mchannel=rssns_source=PublicRSS20-sa,"Standpipes could be needed in the streets next year if England faces another dry winter, the environment secretary warns.","Wed, 02 May 2012 08:20:11 GMT",England,Arkansas,Lonoke,34.5454,-91.9675,"('neutral', 0.4875120520591736)","('neutral', 0.49318137764930725)",neutral,0.4875120520591736,neutral,0.4931813776493072,England,AR,Arkansas,5085,2502,554.5,False,True,America/Chicago,72046
Call for clarity on wind turbines,http://www.bbc.co.uk/news/science-environment-17892944#sa-ns_mchannel=rssns_source=PublicRSS20-sa,"Campaigners call for a limit on how many onshore wind farms will be built in England, but the industry says opponents already have enough of a voice.","Mon, 30 Apr 2012 09:32:25 GMT",England,Arkansas,Lonoke,34.5454,-91.9675,"('neutral', 0.8296224474906921)","('neutral', 0.6873639225959778)",neutral,0.8296224474906921,neutral,0.6873639225959778,England,AR,Arkansas,5085,2502,554.5,False,True,America/Chicago,72046
Forests 'should not be sold off',http://www.bbc.co.uk/news/science-environment-18690019#sa-ns_mchannel=rssns_source=PublicRSS20-sa,"England's publicly owned forest estate is a national asset and should remain in public ownership, say independent advisers.","Wed, 04 Jul 2012 08:08:40 GMT",England,Arkansas,Lonoke,34.5454,-91.9675,"('neutral', 0.8259716629981995)","('neutral', 0.8538801074028015)",neutral,0.8259716629981995,neutral,0.8538801074028015,England,AR,Arkansas,5085,2502,554.5,False,True,America/Chicago,72046
VIDEO: Delight over forest sale U-turn,http://www.bbc.co.uk/news/uk-england-18710529#sa-ns_mchannel=rssns_source=PublicRSS20-sa,Environment Secretary Caroline Spelman has confirmed that plans to sell England's publicly owned forests have been scrapped.,"Wed, 04 Jul 2012 14:20:40 GMT",England,Arkansas,Lonoke,34.5454,-91.9675,"('positive', 0.8649364113807678)","('neutral', 0.4998641908168793)",positive,0.8649364113807678,neutral,0.4998641908168793,England,AR,Arkansas,5085,2502,554.5,False,True,America/Chicago,72046
