,title,link,description,published,city,state_name,county_name,lat,lng
695,In pictures: Isle's ancient finds,http://www.bbc.co.uk/news/uk-scotland-highlands-islands-19298768#sa-ns_mchannel=rssns_source=PublicRSS20-sa,Green marble from Greece among ancient finds on Scottish isle,"Sun, 19 Aug 2012 08:21:03 GMT",Isle,Minnesota,Mille Lacs,46.1389,-93.4592
696,Mass burials at ancient Isle site,http://www.bbc.co.uk/go/rss/int/news/-/news/science-environment-11890292,"Archaeologists on Orkney are investigating what is thought to be a 5,000-year-old tomb complex.","Thu, 02 Dec 2010 10:03:56 GMT",Isle,Minnesota,Mille Lacs,46.1389,-93.4592
984,'Mutant rats' immune to poisons,http://www.bbc.co.uk/news/uk-england-19974261#sa-ns_mchannel=rssns_source=PublicRSS20-sa,"An increasing number of rats in parts of the west of England are mutating to become more resistant to poisons, a university study finds.","Wed, 17 Oct 2012 08:57:35 GMT",England,Arkansas,Lonoke,34.5454,-91.9675
985,Court battle on badger cull fails,http://www.bbc.co.uk/news/science-environment-19563661#sa-ns_mchannel=rssns_source=PublicRSS20-sa,The Badger Trust has lost its Court of Appeal challenge to government plans to allow thousands of badgers to be killed in England.,"Tue, 11 Sep 2012 15:57:30 GMT",England,Arkansas,Lonoke,34.5454,-91.9675
986,No English badger cull this year,http://www.bbc.co.uk/go/rss/int/news/-/news/uk-14204236,"There will be no culling of badgers in England this year to curb cattle tuberculosis, the government says - pilots are possible next year.","Tue, 19 Jul 2011 14:18:48 GMT",England,Arkansas,Lonoke,34.5454,-91.9675
987,VIDEO: Ministers expected to back badger cull,http://www.bbc.co.uk/go/rss/int/news/-/news/uk-14197373,"Farmers may be allowed to cull badgers in parts of England, to try to control the spread of bovine TB.","Tue, 19 Jul 2011 07:21:58 GMT",England,Arkansas,Lonoke,34.5454,-91.9675
988,Dry winter 'could see standpipes',http://www.bbc.co.uk/news/uk-england-17907418#sa-ns_mchannel=rssns_source=PublicRSS20-sa,"Standpipes could be needed in the streets next year if England faces another dry winter, the environment secretary warns.","Wed, 02 May 2012 08:20:11 GMT",England,Arkansas,Lonoke,34.5454,-91.9675
989,Call for clarity on wind turbines,http://www.bbc.co.uk/news/science-environment-17892944#sa-ns_mchannel=rssns_source=PublicRSS20-sa,"Campaigners call for a limit on how many onshore wind farms will be built in England, but the industry says opponents already have enough of a voice.","Mon, 30 Apr 2012 09:32:25 GMT",England,Arkansas,Lonoke,34.5454,-91.9675
990,Forests 'should not be sold off',http://www.bbc.co.uk/news/science-environment-18690019#sa-ns_mchannel=rssns_source=PublicRSS20-sa,"England's publicly owned forest estate is a national asset and should remain in public ownership, say independent advisers.","Wed, 04 Jul 2012 08:08:40 GMT",England,Arkansas,Lonoke,34.5454,-91.9675
991,VIDEO: Delight over forest sale U-turn,http://www.bbc.co.uk/news/uk-england-18710529#sa-ns_mchannel=rssns_source=PublicRSS20-sa,Environment Secretary Caroline Spelman has confirmed that plans to sell England's publicly owned forests have been scrapped.,"Wed, 04 Jul 2012 14:20:40 GMT",England,Arkansas,Lonoke,34.5454,-91.9675
992,Locals to get more say on wind farms,http://www.bbc.co.uk/news/business-22791815#sa-ns_mchannel=rssns_source=PublicRSS20-sa,"Local communities in England are to be given more powers to block onshore wind farms, but also offered greater incentives to accept them.","Thu, 06 Jun 2013 18:19:06 GMT",England,Arkansas,Lonoke,34.5454,-91.9675
993,Alien species making England home,http://www.bbc.co.uk/news/uk-england-28896634#sa-ns_mchannel=rssns_source=PublicRSS20-sa,Why do terrapins live in canals?,"Sat, 13 Sep 2014 23:11:41 GMT",England,Arkansas,Lonoke,34.5454,-91.9675
