title,link,description,published
Meteors Great and Small,https://earthobservatory.nasa.gov/images/148692/meteors-great-and-small,"While the major meteor showers draw the most attention, large and bright fireballs can blaze through the sky at any time of year.","Sat, 14 Aug 2021 00:00:00 -0400"
Oceans Primed for Peak of Hurricane Season,https://earthobservatory.nasa.gov/images/148689/oceans-primed-for-peak-of-hurricane-season,Sea surface temperatures are a fair predictor of the readiness of the ocean to fuel and sustain storms.,"Fri, 13 Aug 2021 00:00:00 -0400"
Fire Outbreak in Algeria,https://earthobservatory.nasa.gov/images/148687/fire-outbreak-in-algeria,"More than 62,000 hectares have burned in the country this year, according to the European Forest Fire Information System.","Wed, 11 Aug 2021 18:05:01 -0400"
Fire Consumes Large Swaths of Greece,https://earthobservatory.nasa.gov/images/148682/fire-consumes-large-swaths-of-greece,Fires in the country have consumed five times as much land as they do in an average year.,"Wed, 11 Aug 2021 17:39:23 -0400"
Sizing Up How Agriculture Connects to Deforestation,https://earthobservatory.nasa.gov/images/148674/sizing-up-how-agriculture-connects-to-deforestation,"Using satellite data from the past two decades, scientists are starting to pinpoint which crops and farming styles have lasting impacts on forests.","Wed, 11 Aug 2021 00:00:00 -0400"
An Unusually Smoky Fire Season in Sakha,https://earthobservatory.nasa.gov/images/148678/an-unusually-smoky-fire-season-in-sakha,Wildfires are approaching records for estimated carbon emissions.,"Mon, 09 Aug 2021 16:50:06 -0400"
A Hawk’s Eye View of Australia’s Red Center,https://earthobservatory.nasa.gov/images/148663/a-hawks-eye-view-of-australias-red-center,Soils in the center of the continent—including those around the famous rock formations of Uluru and Kata-Tjuta—come in striking shades of red.,"Mon, 09 Aug 2021 00:00:00 -0400"
The Valley of Fire,https://earthobservatory.nasa.gov/images/148666/the-valley-of-fire,"When the Sun sets, outcrops made of bright, rust-colored Aztec sandstone appear to be on fire.","Sun, 08 Aug 2021 00:00:00 -0400"
California’s Dixie Fire Keeps on Growing,https://earthobservatory.nasa.gov/images/148669/californias-dixie-fire-keeps-on-growing,The largest fire currently burning in the United States continues to produce enormous plumes of smoke.,"Fri, 06 Aug 2021 17:22:02 -0400"
Feeding the Sea,https://earthobservatory.nasa.gov/images/148661/feeding-the-sea,"Phytoplankton fuel ocean life by feeding other plankton, fish, and ultimately bigger creatures.","Fri, 06 Aug 2021 00:00:00 -0400"
An Upended Ecosystem in the Arabian Sea,https://earthobservatory.nasa.gov/images/148655/an-upended-ecosystem-in-the-arabian-sea,How can snow cover on the Himalayas influence the species that thrive in the ocean a thousand kilometers away?,"Thu, 05 Aug 2021 00:00:00 -0400"
Fires Rage in Turkey,https://earthobservatory.nasa.gov/images/148650/fires-rage-in-turkey,More land area in Turkey has been consumed by fire already this year than usually burns in an entire year.,"Tue, 03 Aug 2021 17:23:38 -0400"
Tournament Earth: The Landsat Games,https://earthobservatory.nasa.gov/tournament-earth,"One round done, four to go. Choose your favorite images of Earth's water, land, ice and snow, and human impacts.","Tue, 03 Aug 2021 00:00:00 -0400"
The Known Unknowns of Sea Level Rise,https://earthobservatory.nasa.gov/images/148645/the-known-unknowns-of-sea-level-rise,"The globe is warming, ice is melting, but that doesn't mean that an ocean will be returning to Vermont anytime soon.","Tue, 03 Aug 2021 00:00:00 -0400"
Clouds and Haze over Malay Peninsula,https://earthobservatory.nasa.gov/images/148640/clouds-and-haze-over-malay-peninsula,Two monsoon seasons make space views of this area rare.,"Sun, 01 Aug 2021 00:00:00 -0400"
Land Surface Temperature,https://earthobservatory.nasa.gov/MOD_LSTD_M,"Land surface temperatures rise and fall with the heat of the Sun, and they represent how hot or cold the surface would feel to touch. These maps show daytime land temperatures as measured from space.","Sat, 31 Jul 2021 00:00:00 -0400"
Land Surface Temperature Anomaly,https://earthobservatory.nasa.gov/MOD_LSTAD_M,"These maps depict anomalies in land surface temperatures (LSTs); that is, how much hotter or cooler a region was compared to the long-term average. LST anomalies can indicate heat waves or cold spells.","Sat, 31 Jul 2021 00:00:00 -0400"
Drought in Madagascar,https://earthobservatory.nasa.gov/images/148636/drought-in-madagascar,"The lack of rainfall and other environmental factors have taken a toll on the region’s vegetation and agricultural production, leaving many in the region facing severe hunger.","Fri, 30 Jul 2021 11:52:31 -0400"
A Summer of Fire-Breathing Smoke Storms,https://earthobservatory.nasa.gov/images/148630/a-summer-of-fire-breathing-smoke-storms,"For decades, scientists have been tracking extreme thunderstorms created by wildfires. However, the ferocity of the storms that have popped up in Canada in 2021 has surprised them.","Thu, 29 Jul 2021 16:49:31 -0400"
A Long View of Sierra Snow,https://earthobservatory.nasa.gov/images/148595/a-long-view-of-sierra-snow,"Those mountains have seen less snow accumulation in recent years, a decline that plays a role in water management and response to drought.","Thu, 29 Jul 2021 00:00:00 -0400"
Extensive Plumes from the Dixie Fire,https://earthobservatory.nasa.gov/images/148626/extensive-plumes-from-the-dixie-fire,The largest fire in California in 2021 has been burning for two weeks near the city of Chico and Lassen National Forest.,"Tue, 27 Jul 2021 16:14:23 -0400"
Heating Up in Tokyo,https://earthobservatory.nasa.gov/images/148616/heating-up-in-tokyo,Ever-warmer summers are among the challenges confronting athletes competing in the Olympic Games.,"Tue, 27 Jul 2021 00:00:00 -0400"
Flooding in Central China,https://earthobservatory.nasa.gov/images/148623/flooding-in-central-china,"A slow-moving rainstorm overwhelmed rivers and reservoirs, leading to deadly flooding in the province of Henan.","Mon, 26 Jul 2021 14:37:30 -0400"
"Fire Island, Cabo Verde",https://earthobservatory.nasa.gov/images/148613/fire-island-cabo-verde,Fogo is part of an active stratovolcano with a turbulent history.,"Mon, 26 Jul 2021 00:00:00 -0400"
Beauty in the Barents,https://earthobservatory.nasa.gov/images/148585/beauty-in-the-barents,There are a few possible reasons why the phytoplankton-rich waters of this high-latitude sea appear both green and turquoise blue.,"Fri, 23 Jul 2021 15:45:33 -0400"
Meandering to the Source,https://earthobservatory.nasa.gov/images/148606/meandering-to-the-source,A modern term of geography was born in Turkey.,"Sat, 24 Jul 2021 00:00:00 -0400"
NASA Earth Observatory Goes to the Beach,https://earthobservatory.nasa.gov/features/videos/nasa-earth-observatory-goes-to-the-beach,"Summer is beach season in the northern hemisphere. But even if you're a regular at your local swimming hole, you probably haven't seen too many beaches from this perspective. See the satellite and space-station views of various shorelines from across the United States. No sunblock necessary.","Thu, 22 Jul 2021 00:00:00 -0400"
Coastal North Queensland,https://earthobservatory.nasa.gov/images/148604/coastal-north-queensland,Tour the Australian state’s diverse landscapes and waterscapes.,"Thu, 22 Jul 2021 00:00:00 -0400"
Smoke Across North America,https://earthobservatory.nasa.gov/images/148610/smoke-across-north-america,"Skies turned hazy from Pittsburgh to Washington to Boston, as smoke from fires in Canada poured into the U.S. Northeast.","Wed, 21 Jul 2021 14:37:39 -0400"
Sweden’s Siljan Ring,https://earthobservatory.nasa.gov/images/148577/swedens-siljan-ring,"The idyllic region of Dalarna County is the site of an ancient, powerful collision.","Wed, 21 Jul 2021 00:00:00 -0400"
Deadly Floods Surprise Europe,https://earthobservatory.nasa.gov/images/148598/deadly-floods-surprise-europe,"Flash floods have devastated several communities in Germany, Belgium, and The Netherlands.","Mon, 19 Jul 2021 17:25:39 -0400"
Oregon Smothered with Smoke,https://earthobservatory.nasa.gov/images/148602/oregon-smothered-with-smoke,"Hot, dry, and windy conditions continue to fan the flames of the largest fire currently burning in the United States.","Mon, 19 Jul 2021 15:42:57 -0400"
Seeing Orange in the Kalahari,https://earthobservatory.nasa.gov/images/148587/seeing-orange-in-the-kalahari,"Sand dunes, ancient rocks, a solar power plant, and the Orange River stand out in this photo from South Africa.","Sun, 18 Jul 2021 00:00:00 -0400"
Algae Abound Along Florida Coast,https://earthobservatory.nasa.gov/images/148590/algae-abound-along-florida-coast,Tampa Bay is teeming with <em>Karenia brevis</em> months before it usually blooms.,"Sat, 17 Jul 2021 20:51:18 -0400"
An Abundance of Aquaculture in Andhra Pradesh,https://earthobservatory.nasa.gov/images/148581/an-abundance-of-aquaculture-in-andhra-pradesh,Inland areas along rivers and canals where people once raised crops are now dotted with fish and shrimp ponds.,"Sat, 17 Jul 2021 00:00:00 -0400"
Digging Beryllium for James Webb,https://earthobservatory.nasa.gov/images/148574/digging-beryllium-for-james-webb,"Spor Mountain in Utah is a major source of the stiff, lightweight metal that has been used in the flagship space telescope and several other NASA missions.","Fri, 16 Jul 2021 00:00:00 -0400"
Sierra Snowbank Short on Funds,https://earthobservatory.nasa.gov/images/148565/sierra-snowbank-short-on-funds,"Mountain snow melted away nearly a month ahead of schedule, leaving reservoirs without their usual inflow of freshwater.","Wed, 14 Jul 2021 16:52:49 -0400"
A Satellite View of Olympic Terrain,https://earthobservatory.nasa.gov/images/149430/a-satellite-view-of-olympic-terrain,"Sporting events in Beijing are clustered in three zones, each with distinct geography.","Mon, 07 Feb 2022 00:00:00 -0500"
"Maiao Atoll, Polynesia",https://earthobservatory.nasa.gov/images/149424/maiao-atoll-polynesia,The tiny Society Islands stand out as land oases amid the largest expanse of water on Earth.,"Sun, 06 Feb 2022 00:00:00 -0500"
Bracing for Batsirai,https://earthobservatory.nasa.gov/images/149420/bracing-for-batsirai,"After being soaked in January by persistent, flooding rainstorms and a tropical storm, citizens of Madagascar are bracing for another potent cyclone.","Fri, 04 Feb 2022 17:18:18 -0500"
